"asn_number","organization_name","organization_country","rir_registry","asn_type","is_known_hosting","is_known_vpn","first_seen","last_seen","unique_ip_count","total_session_count","enrichment","enrichment_updated_at","created_at","updated_at"
206996,"ZAP-Hosting GmbH","DE",NULL,NULL,False,False,"2025-11-06 19:01:02.624083+00","2025-11-06 19:01:02.624083+00",0,0,"{}",NULL,"2025-11-06 19:01:02.624083+00","2025-11-06 19:01:02.624083+00"
207075,"Fountainhead Technologies Limited","HK",NULL,NULL,False,False,"2025-11-06 19:02:22.5904+00","2025-11-06 19:02:22.5904+00",0,0,"{}",NULL,"2025-11-06 19:02:22.5904+00","2025-11-06 19:02:22.5904+00"
207137,"PacketHub S.A.","FI",NULL,NULL,False,False,"2025-11-06 19:01:18.062042+00","2025-11-06 19:01:18.062042+00",0,0,"{}",NULL,"2025-11-06 19:01:18.062042+00","2025-11-06 19:01:18.062042+00"
207159,"Hartum Tv Srl","MD",NULL,NULL,False,False,"2025-11-06 19:01:01.421124+00","2025-11-06 19:01:01.421124+00",0,0,"{}",NULL,"2025-11-06 19:01:01.421124+00","2025-11-06 19:01:01.421124+00"
207164,"Primanet Srl","MD",NULL,NULL,False,False,"2025-11-06 19:02:15.749228+00","2025-11-06 19:02:15.749228+00",0,0,"{}",NULL,"2025-11-06 19:02:15.749228+00","2025-11-06 19:02:15.749228+00"
207165,"OOO 05COM","RU",NULL,NULL,False,False,"2025-11-06 19:03:21.744407+00","2025-11-06 19:03:21.744407+00",0,0,"{}",NULL,"2025-11-06 19:03:21.744407+00","2025-11-06 19:03:21.744407+00"
207228,"Uplink Ltd.","RU",NULL,NULL,False,False,"2025-11-06 19:02:00.059442+00","2025-11-06 19:02:00.059442+00",0,0,"{}",NULL,"2025-11-06 19:02:00.059442+00","2025-11-06 19:02:00.059442+00"
207233,"Iplus Magyarorszag Kereskedelmi es Szolgaltato Kft.","HU",NULL,NULL,False,False,"2025-11-06 19:02:20.772353+00","2025-11-06 19:02:20.772353+00",0,0,"{}",NULL,"2025-11-06 19:02:20.772353+00","2025-11-06 19:02:20.772353+00"
207279,"Markahost Telekomunikasyon Ve Ticaret Limited Sirketi","TR",NULL,NULL,False,False,"2025-11-06 19:01:45.690702+00","2025-11-06 19:01:45.690702+00",0,0,"{}",NULL,"2025-11-06 19:01:45.690702+00","2025-11-06 19:01:45.690702+00"
207333,"LLP Kompaniya Hoster.KZ","KZ",NULL,NULL,False,False,"2025-11-06 19:01:00.648592+00","2025-11-06 19:01:00.648592+00",0,0,"{}",NULL,"2025-11-06 19:01:00.648592+00","2025-11-06 19:01:00.648592+00"
207369,"Skynet Telecom, LLC","KG",NULL,NULL,False,False,"2025-11-06 19:01:00.758643+00","2025-11-06 19:01:00.758643+00",0,0,"{}",NULL,"2025-11-06 19:01:00.758643+00","2025-11-06 19:01:00.758643+00"
207416,"NekoByte Limited","DE",NULL,NULL,False,False,"2025-11-06 19:00:50.524221+00","2025-11-06 19:01:21.497124+00",0,0,"{}",NULL,"2025-11-06 19:00:50.524221+00","2025-11-06 19:01:21.497124+00"
207422,"Melnychenko Oleksandr Viktorovych","UA",NULL,NULL,False,False,"2025-11-06 19:01:59.909064+00","2025-11-06 19:01:59.909064+00",0,0,"{}",NULL,"2025-11-06 19:01:59.909064+00","2025-11-06 19:01:59.909064+00"
207456,"Pangea Connected Limited","GB",NULL,NULL,False,False,"2025-11-06 19:01:00.870079+00","2025-11-06 19:01:00.870079+00",0,0,"{}",NULL,"2025-11-06 19:01:00.870079+00","2025-11-06 19:01:00.870079+00"
207459,"Teknosos Bilisim Hizmetleri Ve Tic. Ltd. Sti.","TR",NULL,NULL,False,False,"2025-11-06 19:03:09.617353+00","2025-11-06 19:03:09.617353+00",0,0,"{}",NULL,"2025-11-06 19:03:09.617353+00","2025-11-06 19:03:09.617353+00"
