"attack_date","session_count","total_commands","avg_commands_per_session","total_file_downloads","total_login_attempts","total_ssh_key_injections","vt_flagged_sessions","dshield_flagged_sessions","avg_duration_seconds","command_count_stddev"
"2025-06-08","2714","1076","0.39646278555637435520","72","2394","141","0","79","5.1967475276344878","2.9116114151923275"
"2025-06-07","1317","631","0.47911921032649962035","35","1002","84","0","32","6.5317253340926348","3.1338765454853911"
"2025-06-06","1470","694","0.47210884353741496599","39","986","93","0","39","8.4078492612244898","3.1376798804837958"
"2025-06-05","1347","707","0.52487008166295471418","50","1054","99","0","69","5.6829776510764662","3.2737776721782916"
"2025-06-04","1510","940","0.62251655629139072848","63","1234","132","0","91","6.0586312741721854","3.5542593789695163"
"2025-06-03","1665","1192","0.71591591591591591592","70","1350","162","0","57","5.8709427975975976","3.8184953040636815"
"2025-06-02","1991","1410","0.70818684078352586640","82","1441","192","0","141","8.4574869181315922","3.7940350270099651"
"2025-06-01","1541","1097","0.71187540558079169371","59","1055","144","0","57","15.8969268053212200","3.8199810192020003"
"2025-05-31","3388","1769","0.52213695395513577332","104","3050","243","0","206","4.8412787122195986","3.2952059068953069"
"2025-05-30","1216","848","0.69736842105263157895","42","887","108","0","36","6.9109458733552632","3.7570927797317220"
"2025-05-29","8530","2769","0.32461899179366940211","197","7300","204","0","25","10.7000113726846424","2.5479371698067975"
"2025-05-28","985","521","0.52893401015228426396","29","679","63","0","36","8.6625298304568528","3.1608995485473385"
"2025-05-27","1161","483","0.41602067183462532300","27","798","60","0","65","7.5368401662360034","2.8387803985684495"
"2025-05-26","826","501","0.60653753026634382567","29","656","69","0","11","6.4357328571428571","3.5139763710311897"
"2025-05-25","1051","952","0.90580399619410085633","68","871","135","0","61","5.6939263510941960","4.2394602751297320"
"2025-05-24","622","411","0.66077170418006430868","33","479","57","0","47","5.6104525144694534","3.5926707529946994"
"2025-05-23","817","618","0.75642594859241126071","41","684","84","0","13","4.3671317209302326","3.8812850301172317"
"2025-05-22","871","625","0.71756601607347876005","42","1001","84","0","43","5.3359048783008037","3.7285048681303008"
"2025-05-21","775","508","0.65548387096774193548","38","535","72","0","5","6.1830029741935484","3.5902923580776516"
"2025-05-20","667","534","0.80059970014992503748","41","543","75","0","75","5.5043573853073463","3.9861772727049332"
"2025-05-19","850","676","0.79529411764705882353","43","677","93","0","115","6.0070068682352941","3.9687206295207100"
"2025-05-18","576","442","0.76736111111111111111","32","408","60","0","44","7.0737474513888889","3.8832586918247991"
"2025-05-17","577","574","0.99480069324090121317","37","375","78","0","18","8.9768051611785095","4.4446801070055233"
"2025-05-16","748","484","0.64705882352941176471","65","554","189","0","20","5.2955763008021390","3.1433454346127614"
"2025-05-15","644","516","0.80124223602484472050","44","464","111","0","72","5.7040503152173913","3.9005042155638924"
"2025-05-14","686","748","1.0903790087463557","49","499","102","0","35","7.4134380743440233","4.6617556452004994"
"2025-05-13","643","555","0.86314152410575427683","37","462","78","0","11","9.4409009533437014","4.1610784558905881"
"2025-05-12","1361","1447","1.0631888317413666","83","1230","198","0","78","4.6413698398236591","4.6138032799663359"
"2025-05-11","1197","2036","1.7009189640768588","130","1054","285","0","37","4.7243863216374269","5.7654060725637339"
"2025-05-10","1550","1858","1.1987096774193548","116","1353","252","0","56","5.0192400980645161","4.9763026180606223"
"2025-05-09","136","128","0.94117647058823529412","8","104","18","0","12","5.7170813455882353","4.4016237843547944"
"2025-05-07","1583","1453","0.91787744788376500316","97","1408","237","0","112","4.9432407605811750","4.2376707509332711"
"2025-05-06","1067","1004","0.94095595126522961575","57","938","120","0","27","5.2625072530459231","4.5617794067083922"
"2025-05-05","1335","514","0.38501872659176029963","44","1192","93","0","15","5.5729111617977528","2.7414991103797152"
"2025-05-04","930","1003","1.0784946236559140","66","829","123","0","54","4.9393267881720430","4.8600732554018188"
"2025-05-03","1482","1284","0.86639676113360323887","114","1359","297","0","92","4.1657748589743590","3.9862649532257177"
"2025-05-02","984","958","0.97357723577235772358","64","871","156","0","18","4.2055135182926829","4.3329527061512828"
"2025-05-01","1146","1215","1.0602094240837696","88","988","180","0","53","4.6883101605584642","4.7188968392712332"
"2025-04-30","1316","1072","0.81458966565349544073","106","1172","303","0","93","4.3641911869300912","3.7926043579957767"
"2025-04-29","676","631","0.93343195266272189349","40","441","87","0","97","9.4898750428994083","4.2947003410094171"
"2025-04-27","134","194","1.4477611940298507","11","119","27","0","0","4.2225489402985075","5.4200507227589454"
"2025-04-25","985","949","0.96345177664974619289","68","790","135","0","67","5.7009695573604061","4.3894140329666167"
"2025-04-24","1013","1051","1.0375123395853899","57","868","138","0","33","5.1247955054294176","4.7274087834066760"
"2025-04-23","1249","1301","1.0416333066453163","87","980","171","0","78","7.3161068887109688","4.6177468306210001"
"2025-04-22","1327","1603","1.2079879427279578","104","1154","219","0","25","5.1488436797287114","4.8696891888738241"
"2025-04-21","1378","816","0.59216255442670537010","52","950","111","0","3","7.1585733904208999","3.4604094858025054"
"2025-04-20","1009","677","0.67096134786917740337","42","756","78","0","4","8.3591085332011893","3.7520839669088816"
"2025-04-19","695","350","0.50359712230215827338","20","488","36","0","4","7.4944319496402878","3.3364939162266793"
"2025-04-18","1433","976","0.68108862526168876483","59","828","54","0","2","12.0967599141660851","3.8944934537106140"
"2025-04-17","2137","1967","0.92044922788956481048","108","1707","71","0","34","6.5530109181094993","4.7638265337638721"
"2025-04-16","1263","1678","1.3285827395091053","85","1005","52","0","84","5.9912689738717340","5.7576957501341020"
"2025-04-15","1176","1284","1.0918367346938776","72","980","37","0","150","6.8508538690476190","5.4612041095038903"
"2025-04-14","1207","914","0.75724937862468931234","53","784","26","0","45","7.0033169030654515","4.4921041902801556"
"2025-04-13","1135","586","0.51629955947136563877","43","715","28","0","82","8.7927816889867841","3.2317113231181128"
"2025-04-12","2971","1223","0.41164591046785594076","120","2703","80","0","81","3.7655954146751935","2.7681179746745685"
"2025-04-11","1026","655","0.63840155945419103314","65","746","41","0","15","6.0277416881091618","3.4936663219781587"
"2025-04-10","646","357","0.55263157894736842105","33","377","20","0","7","8.8144732708978328","3.2373092775681985"
"2025-04-09","553","484","0.87522603978300180832","35","363","19","0","33","8.3789786437613020","4.3197370166080753"
"2025-04-08","561","331","0.59001782531194295900","22","318","15","0","20","9.1513002210338681","3.4666019023939987"
"2025-04-07","609","507","0.83251231527093596059","28","333","21","0","31","9.7720773678160920","4.0161917874951489"
"2025-04-06","1038","702","0.67630057803468208092","61","671","43","0","30","7.5498458294797688","3.5999620958868762"
"2025-04-05","886","552","0.62302483069977426637","34","400","23","0","9","12.8901565823927765","3.4621586769626093"
"2025-04-04","952","551","0.57878151260504201681","31","367","22","0","72","11.0634481428571429","3.3285072402704377"
"2025-04-03","767","662","0.86310299869621903520","46","379","29","0","16","13.5923034745762712","4.0590655098356334"
"2025-04-02","582","481","0.82646048109965635739","32","414","23","0","46","8.2127043986254296","3.9847973812594315"
"2025-04-01","4947","541","0.10935920760056599960","46","4501","33","0","38","4.3105833555690317","1.5407811671591786"
"2025-03-31","930","552","0.59354838709677419355","33","712","24","0","20","6.8748132612903226","3.4241530016346267"
"2025-03-30","374","227","0.60695187165775401070","11","178","1","0","18","13.0681569518716578","4.4188306306589270"
"2025-03-29","721","274","0.38002773925104022191","18","433","10","0","7","8.2470173231622746","3.0381537703945794"
"2025-03-28","674","269","0.39910979228486646884","9","292","5","0","13","11.6022924109792285","3.2323677523744799"
"2025-03-27","1085","165","0.15207373271889400922","6","662","6","0","12","9.8739174488479263","1.7298944772174829"
"2025-03-26","1009","229","0.22695738354806739346","16","509","5","0","33","15.8828745797819623","2.5430864026916294"
"2025-03-25","543","310","0.57090239410681399632","12","128","5","0","27","18.3934518784530387","4.1215436728139952"
"2025-03-24","666","226","0.33933933933933933934","6","507","2","0","35","8.1023089594594595","2.9834907418123765"
"2025-03-23","772","277","0.35880829015544041451","12","483","7","0","12","8.2689577823834197","3.1911864082380306"
"2025-03-22","1508","439","0.29111405835543766578","18","1090","14","0","25","6.4170917798408488","2.5382542277072571"
"2025-03-21","555","131","0.23603603603603603604","5","253","2","0","14","9.4496867819819820","2.5099366710261588"
"2025-03-20","720","244","0.33888888888888888889","9","518","7","0","18","6.0892145847222222","2.8551763769352421"
"2025-03-19","747","229","0.30655957161981258367","12","528","7","0","8","7.5334370749665328","2.5609979042452069"
"2025-03-18","1939","425","0.21918514698298091800","28","1770","12","0","32","4.0004614724084580","2.3033432775304247"
"2025-03-17","660","369","0.55909090909090909091","27","460","12","0","47","7.2676169318181818","3.6812891649326411"
"2025-03-16","26219","15047","0.57389679240245623403","3637","25849","3610","0","1018","3.2408076251191884","2.2233373309518778"
"2025-03-15","62664","94027","1.5004947019022086","11789","62082","9841","0","2186","3.9585770709338695","4.8824033640148712"
"2025-03-14","64035","66558","1.03940032794565472007","9287","63267","8968","0","2842","3.5099177122511127","3.9359657147359804"
"2025-03-13","62998","96760","1.5359217752944538","11137","62163","9588","0","2155","4.1759543483443919","5.0241574125697735"
"2025-03-12","54115","58481","1.08068003326249653516","7803","53033","7027","0","1799","3.9019869529520466","4.0963823048045264"
"2025-03-11","43394","34555","0.79630824537954555929","6630","42445","6118","0","1364","3.5834891199244135","3.0872388073444177"
"2025-03-10","46473","43413","0.93415531598992963656","7195","45693","6485","0","1044","3.7157300256062660","3.5698599245541185"
"2025-03-09","44318","38920","0.87819847466040886322","6473","43090","6048","0","1150","3.8813856338282413","3.4319909121657998"
"2025-03-08","37862","36597","0.96658919233004067403","5086","37169","4674","0","1265","3.7214421392161006","3.8308740350589413"
"2025-03-07","37589","42766","1.1377264625289313","5475","36395","4708","0","1336","4.1875299974992684","4.2557574511493097"
"2025-03-06","44437","49713","1.11872988725611539933","6316","43846","5511","0","1937","3.6411466717375160","4.2288790978916030"
"2025-03-05","42373","60180","1.4202440233167347","7023","41769","5817","0","1463","3.9061149485285441","4.8381032788721930"
