snapshot_asn,snapshot_country,snapshot_ip_type,session_count,days_active,avg_commands,avg_duration_sec,total_downloads,total_ssh_injections,asn_concentration,countries_per_asn
151858,VN,,1118,38,0.72629695885509838998,3.3588551109123435,127,184,0.00080210182244995473,1
401120,XX,,1106,64,0.06871609403254972875,6.1713391844484629,38,9,0.00079349250056319314,1
29447,FR,,1101,8,1.1616712079927339,2.5908300708446866,180,367,0.00078990528311037581,1
9541,PK,,1094,39,0.26234003656307129799,10.6255291435100548,35,40,0.00078488317867643155,1
12975,PS,,1074,30,1.0977653631284916,2.8143170977653631,149,198,0.00077053430886516224,1
138152,HK,,1071,44,0.82352941176470588235,3.4822222726423903,101,157,0.00076838197839347184,1
14638,US,,1060,10,1.2575471698113208,2.6840003867924528,172,351,0.00076049009999727371,1
28573,BR,,1058,76,1.2977315689981096,6.3256764716446125,132,158,0.00075905521301614678,1
137718,CN,,1053,27,0.30674264007597340931,61.4154388471035138,28,62,0.00075546799556332945,1
215590,RU,,1036,15,1.5308880308880309,2.4784775279922780,179,375,0.00074327145622375054,1
9198,KZ,,1025,54,0.85268292682926829268,4.0939834390243902,117,239,0.00073537957782755241,1
14080,CO,,1018,45,0.99312377210216110020,4.1538863379174853,121,159,0.00073035747339360815,1
12874,IT,,1018,47,1.0147347740667976,3.2252893722986248,113,134,0.00073035747339360815,1
